Trial;Stimulus;Export Start Trial Time [ms];Export End Trial Time [ms];Participant;Color;Fixation Count;Fixation Frequency [count/s];Fixation Duration Total [ms];Fixation Duration Average [ms];Fixation Duration Maximum [ms];Fixation Duration Minimum [ms];Fixation Dispersion Total [px];Fixation Dispersion Average [px];Fixation Dispersion Maximum [px];Fixation Dispersion Minimum [px];Saccade Count;Saccade Frequency [count/s];Saccade Duration Total [ms];Saccade Duration Average [ms];Saccade Duration Maximum [ms];Saccade Duration Minimum [ms];Saccade Amplitude Total [°];Saccade Amplitude Average [°];Saccade Amplitude Maximum [°];Saccade Amplitude Minimum [°];Saccade Velocity Total [°/s];Saccade Velocity Average [°/s];Saccade Velocity Maximum [°/s];Saccade Velocity Minimum [°/s];Saccade Latency Average [ms];Blink Count;Blink Frequency [count/s];Blink Duration Total [ms];Blink Duration Average [ms];Blink Duration Maximum [ms];Blink Duration Minimum [ms];Left Mouse Click Count;Left Mouse Click Frequency [count/s];Right Mouse Click Count;Right Mouse Click Frequency [count/s];Scanpath Length [px]
Trial006;7_span_f.jpg;0.0;9950.4;WD220;Indigo;29;2.9;8878.7;306.2;842.6;100.1;1950.7;67.3;99.8;25.8;28;2.8;740.4;26.4;91.9;8.2;163.0;5.8;25.3;0.0;4725.2;168.8;1118.2;3.3;322.6;3;0.3;266.9;89.0;108.4;75.1;0;0.0;0;0.0;8397
Trial010;7_span_f.jpg;0.0;9995.5;WD221;Khaki;26;2.6;9292.2;357.4;967.6;91.7;1970.4;75.8;99.7;29.8;25;2.5;692.8;27.7;108.5;8.2;110.7;4.4;19.4;0.0;2393.1;95.7;291.0;3.9;357.6;0;0.0;0.0;-;-;-;0;0.0;0;0.0;6479
Trial012;7_span_f.jpg;0.0;10002.0;WD222;LawnGreen;25;2.5;9217.2;368.7;1468.1;83.5;1878.5;75.1;99.9;36.7;26;2.6;633.7;24.4;75.1;8.2;134.5;5.2;27.0;0.0;3761.6;144.7;809.4;3.0;363.1;0;0.0;0.0;-;-;-;0;0.0;0;0.0;4759
Trial007;7_span_f.jpg;0.0;9994.1;WD223;LightBlue;34;3.4;8975.1;264.0;642.4;83.4;3010.2;88.5;100.0;67.1;34;3.4;1018.0;29.9;175.3;8.2;128.4;3.8;19.5;0.0;2644.1;77.8;233.8;4.9;265.9;0;0.0;0.0;-;-;-;0;0.0;0;0.0;7269
Trial010;7_span_f.jpg;0.0;9998.0;WD224;LightCoral;28;2.8;8825.4;315.2;909.4;91.8;2080.3;74.3;99.9;25.1;31;3.1;968.1;31.2;150.1;8.2;183.5;5.9;32.9;0.1;4203.0;135.6;541.3;3.3;291.1;1;0.1;83.3;83.3;83.3;83.3;0;0.0;0;0.0;5748
Trial001;7_span_f.jpg;0.0;9993.6;WD225;LightGray;34;3.4;9175.8;269.9;542.1;91.8;2648.7;77.9;99.7;23.4;33;3.3;817.8;24.8;91.9;8.2;150.8;4.6;17.7;0.1;3924.9;118.9;353.0;6.3;270.1;0;0.0;0.0;-;-;-;0;0.0;0;0.0;9921
Trial007;7_span_f.jpg;0.0;9998.2;WD226;LightGreen;24;2.4;9217.8;384.1;2052.1;83.4;2045.9;85.2;99.9;35.0;23;2.3;450.3;19.6;66.8;8.2;69.6;3.0;19.9;0.0;1914.6;83.2;298.2;3.6;419.8;2;0.2;241.9;120.9;125.1;116.7;0;0.0;0;0.0;4493
Trial006;7_span_f.jpg;0.0;9987.9;WD227;LightPink;24;2.4;9031.0;376.3;1810.2;83.4;1969.9;82.1;100.0;18.8;24;2.4;952.2;39.7;191.9;8.2;123.3;5.1;20.5;0.0;1904.2;79.3;216.2;1.7;382.3;0;0.0;0.0;-;-;-;0;0.0;0;0.0;5939
Trial011;7_span_f.jpg;0.0;3369.3;WD228;LightSalmon;8;2.4;3094.6;386.8;926.0;116.8;701.1;87.6;99.9;27.3;7;2.1;267.2;38.2;100.1;8.4;34.6;4.9;15.0;0.1;579.8;82.8;165.7;8.5;332.3;0;0.0;0.0;-;-;-;0;0.0;0;0.0;1879
Trial011;7_span_f.jpg;0.0;9999.5;WD229;LightSeaGreen;35;3.5;7842.0;224.1;567.2;83.5;2990.8;85.5;100.0;56.1;36;3.6;2051.3;57.0;266.9;8.2;282.6;7.8;50.1;0.1;3350.0;93.1;353.5;6.0;221.4;1;0.1;100.1;100.1;100.1;100.1;0;0.0;0;0.0;9113
Trial003;7_span_f.jpg;0.0;9997.5;WD230;LightSkyBlue;33;3.3;8324.3;252.3;700.7;83.5;2770.2;83.9;100.0;17.9;35;3.5;817.5;23.4;83.5;8.2;175.6;5.0;34.9;0.0;4477.9;127.9;691.6;0.9;261.3;6;0.6;717.2;119.5;175.1;75.0;0;0.0;0;0.0;8336
Trial005;7_span_f.jpg;0.0;9992.4;WD231;LightSlateGray;35;3.5;8450.9;241.5;458.9;83.4;2897.5;82.8;99.9;20.0;34;3.4;958.7;28.2;208.6;8.2;157.1;4.6;35.3;0.0;3301.4;97.1;302.7;4.3;264.9;3;0.3;475.5;158.5;175.1;141.9;0;0.0;0;0.0;8422
Trial011;7_span_f.jpg;0.0;9998.1;WD232;LightSteelBlue;46;4.6;7616.1;165.6;400.5;83.4;4211.7;91.6;99.9;59.8;48;4.8;2127.1;44.3;292.0;8.1;233.9;4.9;47.4;0.1;4193.3;87.4;671.6;8.8;165.4;1;0.1;158.6;158.6;158.6;158.6;0;0.0;0;0.0;7160
Trial012;7_span_f.jpg;0.0;9999.1;WD233;Lime;33;3.3;9034.5;273.8;759.1;83.5;2640.8;80.0;99.9;19.6;33;3.3;834.0;25.3;75.0;8.2;146.4;4.4;18.0;0.1;3380.8;102.4;385.1;7.2;276.6;1;0.1;125.1;125.1;125.1;125.1;0;0.0;0;0.0;7998
Trial005;5_ansp_f.jpg;0.0;9992.6;MD201;Coral;26;2.6;9158.9;352.3;909.2;108.5;2057.6;79.1;100.0;21.8;26;2.6;658.5;25.3;83.4;8.2;106.9;4.1;20.2;0.0;2335.8;89.8;303.1;1.7;365.7;1;0.1;158.5;158.5;158.5;158.5;0;0.0;0;0.0;6571
Trial004;5_ansp_f.jpg;0.0;9999.8;MB202;CornflowerBlue;31;3.1;8458.7;272.9;500.5;91.7;2740.5;88.4;100.0;27.5;33;3.3;725.5;22.0;141.7;8.2;117.7;3.6;17.9;0.0;3557.7;107.8;702.6;2.5;271.4;7;0.7;751.0;107.3;150.2;83.4;0;0.0;0;0.0;4770
